LINE,X,Y
1,-76247.94,6618098.74
1,-76247.94,6618148.74
1,-76247.94,6618198.74
1,-76247.94,6618248.74
1,-76247.94,6618298.74
1,-76247.94,6618348.74
1,-76247.94,6618398.74
1,-76247.94,6618448.74
1,-76247.94,6618498.74
1,-76247.94,6618548.74
1,-76247.94,6618598.74
1,-76247.94,6618648.74
1,-76247.94,6618698.74
1,-76247.94,6618748.74
1,-76247.94,6618798.74
1,-76247.94,6618848.74
1,-76247.94,6618898.74
1,-76247.94,6618948.74
1,-76247.94,6618998.74
1,-76247.94,6619048.74
1,-76247.94,6619098.74
1,-76247.94,6619148.74
1,-76247.94,6619198.74
1,-76247.94,6619248.74
1,-76247.94,6619298.74
1,-76247.94,6619348.74
1,-76247.94,6619398.74
1,-76247.94,6619448.74
1,-76247.94,6619498.74
1,-76247.94,6619548.74
1,-76247.94,6619598.74
1,-76247.94,6619648.74
1,-76247.94,6619698.74
1,-76247.94,6619748.74
1,-76247.94,6619798.74
1,-76247.94,6619848.74
1,-76247.94,6619898.74
1,-76247.94,6619948.74
1,-76247.94,6619998.74
1,-76247.94,6620048.74
1,-76247.94,6620098.74
1,-76247.94,6620148.74
1,-76247.94,6620198.74
1,-76247.94,6620248.74
1,-76247.94,6620298.74
1,-76247.94,6620348.74
1,-76247.94,6620398.74
1,-76247.94,6620448.74
1,-76247.94,6620498.74
1,-76247.94,6620548.74
1,-76247.94,6620598.74
1,-76247.94,6620648.74
1,-76247.94,6620698.74
1,-76247.94,6620748.74
1,-76247.94,6620798.74
1,-76247.94,6620848.74
1,-76247.94,6620898.74
1,-76247.94,6620948.74
1,-76247.94,6620998.74
1,-76247.94,6621048.74
1,-76247.94,6621098.74
1,-76247.94,6621148.74
1,-76247.94,6621198.74
1,-76247.94,6621248.74
1,-76247.94,6621298.74
1,-76247.94,6621348.74
1,-76247.94,6621398.74
1,-76247.94,6621448.74
1,-76247.94,6621498.74
1,-76247.94,6621548.74
1,-76247.94,6621598.74
1,-76247.94,6621648.74
1,-76247.94,6621698.74
1,-76247.94,6621748.74
1,-76247.94,6621798.74
1,-76247.94,6621848.74
1,-76247.94,6621898.74
1,-76247.94,6621948.74
1,-76247.94,6621998.74
1,-76247.94,6622048.74
1,-76247.94,6622098.74
1,-76247.94,6622148.74
1,-76247.94,6622198.74
1,-76247.94,6622248.74
1,-76247.94,6622298.74
1,-76247.94,6622348.74
1,-76247.94,6622398.74
1,-76247.94,6622448.74
1,-76247.94,6622498.74
1,-76247.94,6622548.74
1,-76247.94,6622598.74
1,-76247.94,6622648.74
1,-76247.94,6622698.74
1,-76247.94,6622748.74
1,-76247.94,6622798.74
1,-76247.94,6622848.74
1,-76247.94,6622898.74
