Line,XCo_m,YCo_m
9270,789006.654,1919754.344
9270,789006.64,1919760.52
9270,789006.626,1919766.696
9270,789006.612,1919772.872
9270,789006.598,1919779.048
9270,789006.584,1919785.224
9270,789006.57,1919791.4
9270,789006.622,1919797.575
9270,789006.674,1919803.75
9270,789006.726,1919809.925
9270,789006.778,1919816.1
9270,789006.83,1919822.275
9270,789006.882,1919828.45
9270,789006.934,1919834.625
9270,789006.986,1919840.8
9270,789007.038,1919846.975
9270,789007.09,1919853.15
9270,789007.203,1919859.33
9270,789007.316,1919865.51
9270,789007.429,1919871.69
9270,789007.542,1919877.87
9270,789007.655,1919884.05
9270,789007.768,1919890.23
9270,789007.881,1919896.41
9270,789007.994,1919902.59
9270,789008.107,1919908.77
9270,789008.22,1919914.95
9270,789008.363,1919921.137
9270,789008.506,1919927.324
9270,789008.649,1919933.511
9270,789008.792,1919939.698
9270,789008.935,1919945.885
9270,789009.078,1919952.072
9270,789009.221,1919958.259
9270,789009.364,1919964.446
9270,789009.507,1919970.633
9270,789009.65,1919976.82
9270,789009.828,1919983.016
9270,789010.006,1919989.212
9270,789010.184,1919995.408
9270,789010.362,1920001.604
9270,789010.54,1920007.8
9270,789010.718,1920013.996
9270,789010.896,1920020.192
9270,789011.074,1920026.388
9270,789011.252,1920032.584
9270,789011.43,1920038.78
9270,789011.626,1920044.982
9270,789011.822,1920051.184
9270,789012.018,1920057.386
9270,789012.214,1920063.588
9270,789012.41,1920069.79
9270,789012.606,1920075.992
9270,789012.802,1920082.194
9270,789012.998,1920088.396
9270,789013.194,1920094.598
9270,789013.39,1920100.8
9270,789013.59,1920107.005
9270,789013.79,1920113.21
9270,789013.99,1920119.415
9270,789014.19,1920125.62
9270,789014.39,1920131.825
9270,789014.59,1920138.03
9270,789014.79,1920144.235
9270,789014.99,1920150.44
9270,789015.19,1920156.645
9270,789015.39,1920162.85
9270,789015.601,1920169.062
9270,789015.812,1920175.274
9270,789016.023,1920181.486
9270,789016.234,1920187.698
9270,789016.445,1920193.91
9270,789016.656,1920200.122
9270,789016.867,1920206.334
9270,789017.078,1920212.546
9270,789017.289,1920218.758
9270,789017.5,1920224.97
9270,789017.731,1920231.188
9270,789017.962,1920237.406
9270,789018.193,1920243.624
9270,789018.424,1920249.842
9270,789018.655,1920256.06
9270,789018.886,1920262.278
9270,789019.117,1920268.496
9270,789019.348,1920274.714
9270,789019.579,1920280.932
9270,789019.81,1920287.15
9270,789020.04,1920293.372
9270,789020.27,1920299.594
9270,789020.5,1920305.816
9270,789020.73,1920312.038
9270,789020.96,1920318.26
9270,789021.19,1920324.482
9270,789021.42,1920330.704
9270,789021.65,1920336.926
9270,789021.88,1920343.148
9270,789022.11,1920349.37
9270,789022.31,1920355.581
9270,789022.51,1920361.792
9270,789022.71,1920368.003
9270,789022.91,1920374.214
9270,789023.11,1920380.425
9270,789023.31,1920386.636
9270,789023.51,1920392.847
9270,789023.71,1920399.058
9270,789023.91,1920405.269
9270,789024.11,1920411.48
9270,789024.277,1920417.682
9270,789024.444,1920423.884
9270,789024.611,1920430.086
9270,789024.778,1920436.288
9270,789024.945,1920442.49
9270,789025.112,1920448.692
9270,789025.279,1920454.894
9270,789025.446,1920461.096
9270,789025.613,1920467.298
9270,789025.78,1920473.5
9270,789025.939,1920479.697
9270,789026.098,1920485.894
9270,789026.257,1920492.091
9270,789026.416,1920498.288
9270,789026.575,1920504.485
9270,789026.734,1920510.682
9270,789026.893,1920516.879
9270,789027.052,1920523.076
