LINE,X,Y,LSYMB
1,-66019.84,6612975.95,114
1,-65984.48,6612940.59,114
1,-65949.13,6612905.23,114
1,-65913.77,6612869.88,114
1,-65878.42,6612834.52,114
1,-65843.06,6612799.17,114
1,-65807.71,6612763.81,114
1,-65772.35,6612728.46,114
1,-65737.00,6612693.10,114
1,-65701.64,6612657.75,114
1,-65666.29,6612622.39,114
1,-65630.93,6612587.04,114
1,-65595.57,6612551.68,114
1,-65560.22,6612516.33,114
1,-65524.86,6612480.97,114
1,-65489.51,6612445.62,114
1,-65454.15,6612410.26,114
1,-65418.80,6612374.90,114
1,-65383.44,6612339.55,114
1,-65348.09,6612304.19,114
1,-65312.73,6612268.84,114
1,-65277.38,6612233.48,114
1,-65242.02,6612198.13,114
1,-65206.67,6612162.77,114
1,-65171.31,6612127.42,114
2,-67723.44,6614329.03,102
2,-67760.00,6614363.13,102
2,-67796.57,6614397.23,102
2,-67833.14,6614431.33,102
2,-67869.71,6614465.43,102
2,-67906.28,6614499.53,102
2,-67942.84,6614533.63,102
2,-67979.41,6614567.73,102
2,-68015.98,6614601.83,102
2,-68052.55,6614635.93,102
2,-68089.11,6614670.03,102
2,-68125.68,6614704.13,102
2,-68162.25,6614738.23,102
2,-68198.82,6614772.33,102
2,-68235.38,6614806.43,102
2,-68271.95,6614840.53,102
2,-68308.52,6614874.63,102
2,-68345.09,6614908.73,102
2,-68381.66,6614942.83,102
2,-68418.22,6614976.93,102
2,-68454.79,6615011.03,102
2,-68491.36,6615045.13,102
2,-68527.93,6615079.23,102
2,-68564.49,6615113.33,102
2,-68601.06,6615147.43,102
2,-68637.63,6615181.53,102
2,-68674.20,6615215.63,102
2,-68710.76,6615249.73,102
2,-68747.33,6615283.83,102
2,-68783.90,6615317.93,102
2,-68820.47,6615352.03,102
2,-68857.04,6615386.13,102
2,-68893.60,6615420.23,102
2,-68930.17,6615454.33,102
2,-68966.74,6615488.43,102
2,-69003.31,6615522.53,102
2,-69039.87,6615556.63,102
2,-69076.44,6615590.73,102
2,-69113.01,6615624.83,102
2,-69149.58,6615658.93,102
2,-69186.14,6615693.03,102
2,-69222.71,6615727.13,102
2,-69259.28,6615761.23,102
2,-69295.85,6615795.33,102
2,-69332.42,6615829.43,102
2,-69368.98,6615863.53,102
2,-69405.55,6615897.63,102
2,-69442.12,6615931.73,102
2,-69478.69,6615965.83,102
2,-69515.25,6615999.93,102
2,-69551.82,6616034.03,102
2,-69588.39,6616068.13,102
2,-69624.96,6616102.23,102
2,-69661.52,6616136.33,102
2,-69698.09,6616170.43,102
2,-69734.66,6616204.53,102
2,-69771.23,6616238.63,102
2,-69807.80,6616272.73,102
2,-69844.36,6616306.83,102
2,-69880.93,6616340.93,102
2,-69917.50,6616375.03,102
2,-69954.07,6616409.12,102
2,-69990.63,6616443.22,102
2,-70027.20,6616477.32,102
2,-70063.77,6616511.42,102
2,-70100.34,6616545.52,102
2,-70136.90,6616579.62,102
2,-70173.47,6616613.72,102
2,-70210.04,6616647.82,102
2,-70246.61,6616681.92,102
2,-70283.18,6616716.02,102
2,-70319.74,6616750.12,102
2,-70356.31,6616784.22,102
2,-70392.88,6616818.32,102
2,-70429.45,6616852.42,102
2,-70466.01,6616886.52,102
2,-70502.58,6616920.62,102
2,-70539.15,6616954.72,102
2,-70575.72,6616988.82,102
2,-70612.28,6617022.92,102
2,-70648.85,6617057.02,102
2,-70685.42,6617091.12,102
2,-70721.99,6617125.22,102
2,-70758.56,6617159.32,102
2,-70795.12,6617193.42,102
2,-70831.69,6617227.52,102
2,-70868.26,6617261.62,102
2,-70904.83,6617295.72,102
2,-70941.39,6617329.82,102
2,-70977.96,6617363.92,102
2,-71014.53,6617398.02,102
2,-71051.10,6617432.12,102
2,-71087.66,6617466.22,102
2,-71124.23,6617500.32,102
2,-71160.80,6617534.42,102
2,-71197.37,6617568.52,102
2,-71233.93,6617602.62,102
2,-71270.50,6617636.72,102
2,-71307.07,6617670.82,102
2,-71343.64,6617704.92,102
2,-71380.21,6617739.02,102
2,-71416.77,6617773.12,102
2,-71453.34,6617807.22,102
2,-71489.91,6617841.32,102
2,-71526.48,6617875.42,102
2,-71563.04,6617909.52,102
2,-71599.61,6617943.62,102
2,-71636.18,6617977.72,102
2,-71672.75,6618011.82,102
2,-71709.31,6618045.92,102
2,-71745.88,6618080.02,102
2,-71782.45,6618114.12,102
2,-71819.02,6618148.22,102
2,-71855.59,6618182.32,102
2,-71892.15,6618216.42,102
2,-71928.72,6618250.52,102
